INDEX,X,Y,SEMA,SHAXIAN,LUOLA,DUMU,ZHENBAN,SIGN,PRE_ACTION,POST_ACTION,CMD
1,100,1,+0,1,0,0,1,+,+11,+11,
2,99,1,+0,1,0,0,1,+,+11,+11,
3,98,1,+0,1,0,0,1,+,+11,+11,
4,97,1,+0,1,0,0,1,+,+11,+11,
5,96,1,+0,1,0,0,1,+,+11,+11,
6,95,1,+0,1,0,0,1,+,+11,+11,
7,94,1,+0,1,0,0,1,+,+11,+11,
8,93,1,+0,1,0,0,1,+,+11,+11,
9,92,1,+0,1,0,0,1,+,+11,+11,
10,91,1,+0,1,0,0,1,+,+11,+11,
11,90,1,+0,1,0,0,1,+,+11,+11,
12,89,1,+0,1,0,0,1,+,+11,+11,
13,88,1,+0,1,0,0,1,+,+11,+11,
14,87,1,+0,1,0,0,1,+,+11,+11,
15,86,1,+0,1,0,0,1,+,+11,+11,
16,85,1,+0,1,0,0,1,+,+11,+11,
17,84,1,+0,1,0,0,1,+,+11,+11,
18,83,1,+0,1,0,0,1,+,+11,+11,
19,82,1,+0,1,0,0,1,+,+11,+11,
20,81,1,+0,1,0,0,1,+,+11,+11,
21,80,1,+0,1,0,0,1,+,+11,+11,
22,79,1,+0,1,0,0,1,+,+11,+11,
23,78,1,+0,1,0,0,1,+,+11,+11,
24,77,1,+0,1,0,0,1,+,+11,+11,
25,76,1,+0,1,0,0,1,+,+11,+11,
26,75,1,+0,1,0,0,1,+,+11,+11,
27,74,1,+0,1,0,0,1,+,+11,+11,
28,73,1,+0,1,0,0,1,+,+11,+11,
29,72,1,+0,1,0,0,1,+,+11,+11,
30,71,1,+0,1,0,0,1,+,+11,+11,
31,70,1,+0,1,0,0,1,+,+11,+11,
32,69,1,+0,1,0,0,1,+,+11,+11,
33,68,1,+0,1,0,0,1,+,+11,+11,
34,67,1,+0,1,0,0,1,+,+11,+11,
35,66,1,+0,1,0,0,1,+,+11,+11,
36,65,1,+0,1,0,0,1,+,+11,+11,
37,64,1,+0,1,0,0,1,+,+11,+11,
38,63,1,+0,1,0,0,1,+,+11,+11,
39,62,1,+0,1,0,0,1,+,+11,+11,
40,61,1,+0,1,0,0,1,+,+11,+11,
41,60,1,+0,1,0,0,1,+,+11,+11,
42,59,1,+0,1,0,0,1,+,+11,+11,
43,58,1,+0,1,0,0,1,+,+11,+11,
44,57,1,+0,1,0,0,1,+,+11,+11,
45,56,1,+0,1,0,0,1,+,+11,+11,
46,55,1,+0,1,0,0,1,+,+11,+11,
47,54,1,+0,1,0,0,1,+,+11,+11,
48,53,1,+0,1,0,0,1,+,+11,+11,
49,52,1,+0,1,0,0,1,+,+11,+11,
50,51,1,+0,1,0,0,1,+,+11,+11,
51,50,1,+0,1,0,0,1,+,+11,+11,
52,49,1,+0,1,0,0,1,+,+11,+11,
53,48,1,+0,1,0,0,1,+,+11,+11,
54,47,1,+0,1,0,0,1,+,+11,+11,
55,46,1,+10,1,1,1,1,+,+11,+11,
56,45,1,+0,1,0,0,1,+,+11,+11,
57,44,1,+0,1,0,0,1,+,+11,+11,
58,43,1,+0,1,0,0,1,+,+11,+11,
59,42,1,+0,1,0,0,1,+,+11,+11,
60,41,1,+0,1,0,0,1,+,+11,+11,
61,40,1,+0,1,0,0,1,+,+11,+11,
62,39,1,+0,1,0,0,1,+,+11,+11,
63,38,1,+0,1,0,0,1,+,+11,+11,
64,37,1,+0,1,0,0,1,+,+11,+11,
65,36,1,+0,1,0,0,1,+,+11,+11,
66,35,1,+0,1,0,0,1,+,+11,+11,
67,34,1,+0,1,0,0,1,+,+11,+11,
68,33,1,+0,1,0,0,1,+,+11,+11,
69,32,1,+0,1,0,0,1,+,+11,+11,
70,31,1,+0,1,0,0,1,+,+11,+11,
71,30,1,+0,1,0,0,1,+,+11,+11,
72,29,1,+0,1,0,0,1,+,+11,+11,
73,28,1,+0,1,0,0,1,+,+11,+11,
74,27,1,+0,1,0,0,1,+,+11,+11,
75,26,1,+0,1,0,0,1,+,+11,+11,
76,25,1,+0,1,0,0,1,+,+11,+11,
77,24,1,+0,1,0,0,1,+,+11,+11,
78,23,1,+0,1,0,0,1,+,+11,+11,
79,22,1,+0,1,0,0,1,+,+11,+11,
80,21,1,+0,1,0,0,1,+,+11,+11,
81,20,1,+0,1,0,0,1,+,+11,+11,
82,19,1,+0,1,0,0,1,+,+11,+11,
83,18,1,+0,1,0,0,1,+,+11,+11,
84,17,1,+0,1,0,0,1,+,+11,+11,
85,16,1,+0,1,0,0,1,+,+11,+11,
86,15,1,+0,1,0,0,1,+,+11,+11,
87,14,1,+0,1,0,0,1,+,+11,+11,
88,13,1,+0,1,0,0,1,+,+11,+11,
89,12,1,+0,1,0,0,1,+,+11,+11,
90,11,1,+0,1,0,0,1,+,+11,+11,
91,10,1,+0,1,0,0,1,+,+11,+11,
92,9,1,+0,1,0,0,1,+,+11,+11,
93,8,1,+0,1,0,0,1,+,+11,+11,
94,7,1,+0,1,0,0,1,+,+11,+11,
95,6,1,+0,1,0,0,1,+,+11,+11,
96,5,1,+0,1,0,0,1,+,+11,+11,
97,4,1,+0,1,0,0,1,+,+11,+11,
98,3,1,+0,1,0,0,1,+,+11,+11,
99,2,1,+0,1,0,0,1,+,+11,+11,
100,1,1,+0,1,0,0,1,+,+11,+11,
,,,,+11,0,,,+,,,line_switch
101,1,2,-0,1,0,0,1,-,+11,+11,
102,2,2,-0,1,0,0,1,-,-11,-11,
103,3,2,-0,1,0,0,1,-,-11,-11,
104,4,2,-0,1,0,0,1,-,-11,-11,
105,5,2,-0,1,0,0,1,-,-11,-11,
106,6,2,-0,1,0,0,1,-,-11,-11,
107,7,2,-0,1,0,0,1,-,-11,-11,
108,8,2,-0,1,0,0,1,-,-11,-11,
109,9,2,-0,1,0,0,1,-,-11,-11,
110,10,2,-0,1,0,0,1,-,-11,-11,
111,11,2,-0,1,0,0,1,-,-11,-11,
112,12,2,-0,1,0,0,1,-,-11,-11,
113,13,2,-0,1,0,0,1,-,-11,-11,
114,14,2,-0,1,0,0,1,-,-11,-11,
115,15,2,-0,1,0,0,1,-,-11,-11,
116,16,2,-0,1,0,0,1,-,-11,-11,
117,17,2,-0,1,0,0,1,-,-11,-11,
118,18,2,-0,1,0,0,1,-,-11,-11,
119,19,2,-0,1,0,0,1,-,-11,-11,
120,20,2,-0,1,0,0,1,-,-11,-11,
121,21,2,-0,1,0,0,1,-,-11,-11,
122,22,2,-0,1,0,0,1,-,-11,-11,
123,23,2,-0,1,0,0,1,-,-11,-11,
124,24,2,-0,1,0,0,1,-,-11,-11,
125,25,2,-0,1,0,0,1,-,-11,-11,
126,26,2,-0,1,0,0,1,-,-11,-11,
127,27,2,-0,1,0,0,1,-,-11,-11,
128,28,2,-0,1,0,0,1,-,-11,-11,
129,29,2,-0,1,0,0,1,-,-11,-11,
130,30,2,-0,1,0,0,1,-,-11,-11,
131,31,2,-0,1,0,0,1,-,-11,-11,
132,32,2,-0,1,0,0,1,-,-11,-11,
133,33,2,-0,1,0,0,1,-,-11,-11,
134,34,2,-0,1,0,0,1,-,-11,-11,
135,35,2,-0,1,0,0,1,-,-11,-11,
136,36,2,-0,1,0,0,1,-,-11,-11,
137,37,2,-0,1,0,0,1,-,-11,-11,
138,38,2,-0,1,0,0,1,-,-11,-11,
139,39,2,-0,1,0,0,1,-,-11,-11,
140,40,2,-0,1,0,0,1,-,-11,-11,
141,41,2,-0,1,0,0,1,-,-11,-11,
142,42,2,-0,1,0,0,1,-,-11,-11,
143,43,2,-0,1,0,0,1,-,-11,-11,
144,44,2,-0,1,0,0,1,-,-11,-11,
145,45,2,-10,1,1,1,1,-,-11,-11,
146,46,2,-10,1,1,1,1,-,-11,-11,
147,47,2,-10,1,1,1,1,-,-11,-11,
148,48,2,-0,1,0,0,1,-,-11,-11,
149,49,2,-0,1,0,0,1,-,-11,-11,
150,50,2,-0,1,0,0,1,-,-11,-11,
151,51,2,-0,1,0,0,1,-,-11,-11,
152,52,2,-0,1,0,0,1,-,-11,-11,
153,53,2,-0,1,0,0,1,-,-11,-11,
154,54,2,-0,1,0,0,1,-,-11,-11,
155,55,2,-0,1,0,0,1,-,-11,-11,
156,56,2,-0,1,0,0,1,-,-11,-11,
157,57,2,-0,1,0,0,1,-,-11,-11,
158,58,2,-0,1,0,0,1,-,-11,-11,
159,59,2,-0,1,0,0,1,-,-11,-11,
160,60,2,-0,1,0,0,1,-,-11,-11,
161,61,2,-0,1,0,0,1,-,-11,-11,
162,62,2,-0,1,0,0,1,-,-11,-11,
163,63,2,-0,1,0,0,1,-,-11,-11,
164,64,2,-0,1,0,0,1,-,-11,-11,
165,65,2,-0,1,0,0,1,-,-11,-11,
166,66,2,-0,1,0,0,1,-,-11,-11,
167,67,2,-0,1,0,0,1,-,-11,-11,
168,68,2,-0,1,0,0,1,-,-11,-11,
169,69,2,-0,1,0,0,1,-,-11,-11,
170,70,2,-0,1,0,0,1,-,-11,-11,
171,71,2,-0,1,0,0,1,-,-11,-11,
172,72,2,-0,1,0,0,1,-,-11,-11,
173,73,2,-0,1,0,0,1,-,-11,-11,
174,74,2,-0,1,0,0,1,-,-11,-11,
175,75,2,-0,1,0,0,1,-,-11,-11,
176,76,2,-0,1,0,0,1,-,-11,-11,
177,77,2,-0,1,0,0,1,-,-11,-11,
178,78,2,-0,1,0,0,1,-,-11,-11,
179,79,2,-0,1,0,0,1,-,-11,-11,
180,80,2,-0,1,0,0,1,-,-11,-11,
181,81,2,-0,1,0,0,1,-,-11,-11,
182,82,2,-0,1,0,0,1,-,-11,-11,
183,83,2,-0,1,0,0,1,-,-11,-11,
184,84,2,-0,1,0,0,1,-,-11,-11,
185,85,2,-0,1,0,0,1,-,-11,-11,
186,86,2,-0,1,0,0,1,-,-11,-11,
187,87,2,-0,1,0,0,1,-,-11,-11,
188,88,2,-0,1,0,0,1,-,-11,-11,
189,89,2,-0,1,0,0,1,-,-11,-11,
190,90,2,-0,1,0,0,1,-,-11,-11,
191,91,2,-0,1,0,0,1,-,-11,-11,
192,92,2,-0,1,0,0,1,-,-11,-11,
193,93,2,-0,1,0,0,1,-,-11,-11,
194,94,2,-0,1,0,0,1,-,-11,-11,
195,95,2,-0,1,0,0,1,-,-11,-11,
196,96,2,-0,1,0,0,1,-,-11,-11,
197,97,2,-0,1,0,0,1,-,-11,-11,
198,98,2,-0,1,0,0,1,-,-11,-11,
199,99,2,-0,1,0,0,1,-,-11,-11,
200,100,2,-0,1,0,0,1,-,-11,-11,
,,,,-11,0,,,-,,,line_switch
201,100,3,+0,1,0,0,1,+,-11,-11,
202,99,3,+0,1,0,0,1,+,+11,+11,
203,98,3,+0,1,0,0,1,+,+11,+11,
204,97,3,+0,1,0,0,1,+,+11,+11,
205,96,3,+0,1,0,0,1,+,+11,+11,
206,95,3,+0,1,0,0,1,+,+11,+11,
207,94,3,+0,1,0,0,1,+,+11,+11,
208,93,3,+0,1,0,0,1,+,+11,+11,
209,92,3,+0,1,0,0,1,+,+11,+11,
210,91,3,+0,1,0,0,1,+,+11,+11,
211,90,3,+0,1,0,0,1,+,+11,+11,
212,89,3,+0,1,0,0,1,+,+11,+11,
213,88,3,+0,1,0,0,1,+,+11,+11,
214,87,3,+0,1,0,0,1,+,+11,+11,
215,86,3,+0,1,0,0,1,+,+11,+11,
216,85,3,+0,1,0,0,1,+,+11,+11,
217,84,3,+0,1,0,0,1,+,+11,+11,
218,83,3,+0,1,0,0,1,+,+11,+11,
219,82,3,+0,1,0,0,1,+,+11,+11,
220,81,3,+0,1,0,0,1,+,+11,+11,
221,80,3,+0,1,0,0,1,+,+11,+11,
222,79,3,+0,1,0,0,1,+,+11,+11,
223,78,3,+0,1,0,0,1,+,+11,+11,
224,77,3,+0,1,0,0,1,+,+11,+11,
225,76,3,+0,1,0,0,1,+,+11,+11,
226,75,3,+0,1,0,0,1,+,+11,+11,
227,74,3,+0,1,0,0,1,+,+11,+11,
228,73,3,+0,1,0,0,1,+,+11,+11,
229,72,3,+0,1,0,0,1,+,+11,+11,
230,71,3,+0,1,0,0,1,+,+11,+11,
231,70,3,+0,1,0,0,1,+,+11,+11,
232,69,3,+0,1,0,0,1,+,+11,+11,
233,68,3,+0,1,0,0,1,+,+11,+11,
234,67,3,+0,1,0,0,1,+,+11,+11,
235,66,3,+0,1,0,0,1,+,+11,+11,
236,65,3,+0,1,0,0,1,+,+11,+11,
237,64,3,+0,1,0,0,1,+,+11,+11,
238,63,3,+0,1,0,0,1,+,+11,+11,
239,62,3,+0,1,0,0,1,+,+11,+11,
240,61,3,+0,1,0,0,1,+,+11,+11,
241,60,3,+0,1,0,0,1,+,+11,+11,
242,59,3,+0,1,0,0,1,+,+11,+11,
243,58,3,+0,1,0,0,1,+,+11,+11,
244,57,3,+0,1,0,0,1,+,+11,+11,
245,56,3,+0,1,0,0,1,+,+11,+11,
246,55,3,+0,1,0,0,1,+,+11,+11,
247,54,3,+0,1,0,0,1,+,+11,+11,
248,53,3,+0,1,0,0,1,+,+11,+11,
249,52,3,+0,1,0,0,1,+,+11,+11,
250,51,3,+0,1,0,0,1,+,+11,+11,
251,50,3,+0,1,0,0,1,+,+11,+11,
252,49,3,+0,1,0,0,1,+,+11,+11,
253,48,3,+10,1,1,1,1,+,+11,+11,
254,47,3,+10,1,1,1,1,+,+11,+11,
255,46,3,+10,1,1,1,1,+,+11,+11,
256,45,3,+10,1,1,1,1,+,+11,+11,
257,44,3,+10,1,1,1,1,+,+11,+11,
258,43,3,+0,1,0,0,1,+,+11,+11,
259,42,3,+0,1,0,0,1,+,+11,+11,
260,41,3,+0,1,0,0,1,+,+11,+11,
261,40,3,+0,1,0,0,1,+,+11,+11,
262,39,3,+0,1,0,0,1,+,+11,+11,
263,38,3,+0,1,0,0,1,+,+11,+11,
264,37,3,+0,1,0,0,1,+,+11,+11,
265,36,3,+0,1,0,0,1,+,+11,+11,
266,35,3,+0,1,0,0,1,+,+11,+11,
267,34,3,+0,1,0,0,1,+,+11,+11,
268,33,3,+0,1,0,0,1,+,+11,+11,
269,32,3,+0,1,0,0,1,+,+11,+11,
270,31,3,+0,1,0,0,1,+,+11,+11,
